Nr,Gebiet,Waehler,Waehler Vorperiode,Ungueltige Erststimmen,"Ungueltige Erststimmen, Prozent",Ungueltige Erststimmen Vorperiode,"Ungueltige Erststimmen Vorperiode, Prozent",Ungueltige Zweitstimmen,"Ungueltige Zweitstimmen, Prozent",Ungueltige Zweitstimmen Vorperiode,"Ungueltige Zweitstimmen Vorperiode, Prozent",Gueltige Erststimmen,Gueltige Erststimmen Vorperiode,Gueltige Zweitstimmen,Gueltige Zweitstimmen Vorperiode,CDU Erststimmen,CDU Zweitstimmen,SPD Erststimmen,SPD Zweitstimmen,FDP Erststimmen,FDP Erststimmen Vorperiode,FDP Zweitstimmen,FDP Zweitstimmen Vorperiode,DIE LINKE Erststimmen,DIE LINKE Zweitstimmen,GRUENE Erststimmen,GRUENE Zweitstimmen,CSU Erststimmen,CSU Zweitstimmen,CDU/CSU Erststimmen,CDU/CSU Zweitstimmen
11,Lbeck,124711,124624,1563,0.013,3524,0.028,1440,0.012,3284,0.026,123148,121100,123271,121340,44896,42218,50119,42083,2958,13296,5857,17173,6662,7970,9475,13638,,,44896,42218
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
18,Hamburg-Mitte,168465,164566,2445,0.015,2660,0.016,2252,0.013,2033,0.012,166020,161906,166213,162533,46753,44947,64997,55721,2878,12700,6458,18915,15693,18124,19943,22645,,,46753,44947
19,Hamburg-Altona,135857,133657,1454,0.011,1552,0.012,1393,0.010,1358,0.010,134403,132105,134464,132299,43609,39581,46918,40009,2627,10655,7353,17246,13759,14525,18380,22167,,,43609,39581
20,Hamburg-Eimsbttel,143084,141650,1646,0.012,1881,0.013,1444,0.010,1290,0.009,141438,139769,141640,140360,47112,43989,53105,44492,3264,11712,7308,18823,9728,12137,18399,22074,,,47112,43989
21,Hamburg-Nord,163950,163012,1666,0.010,1821,0.011,1512,0.009,1357,0.008,162284,161191,162438,161655,64459,59244,56421,49039,3921,12766,10242,25269,7626,10615,19343,20357,,,64459,59244
22,Hamburg-Wandsbek,147153,150049,1960,0.013,2126,0.014,1795,0.012,1686,0.011,145193,147923,145358,148363,54002,50641,58029,50339,2783,11408,6556,20181,9594,11078,9320,12667,,,54002,50641
23,Hamburg-Bergedorf - Harburg,142704,143119,2089,0.015,2355,0.016,1988,0.014,1991,0.014,140615,140764,140716,141128,50044,47525,56867,49302,2234,10727,4952,16709,10595,11817,9088,12916,,,50044,47525
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
24,Aurich - Emden,134256,132885,2217,0.017,2439,0.018,1724,0.013,2121,0.016,132039,130446,132532,130764,42737,43026,66348,58080,2085,9314,4323,13619,6373,6588,12627,11028,,,42737,43026
